Site,Date,Product,Class,Volume,Mass,Comment
Estrup,15-05-2012,Fox 480 SC (bifenox),weeds,1.2,,
Estrup,18-05-2012,Mustang forte (aminopyralid/florasulam/2,4-D),weeds,0.75,,
Estrup,13-06-2012,Amistar (azoxystrobin),fungi,1.0,,
Estrup,26-09-2012,Tracer (potasium bromide),,,30000,
Estrup,25-04-2013,Command CS (clomazone),weeds,0.25,,
Estrup,16-05-2013,Fighter 480 (bentazone),weeds,1.0,,
Estrup,16-05-2013,Cyperb (cypermethrin),pests,0.3,,(not analysed)
Estrup,13-07-2013,Pirimor G (pirimicarb),pests,,250,
Estrup,21-08-2013,Glyphonova 450 Plus (glyphosate),weeds,2.4,,
Estrup,11-11-2013,Oxitril CM (bromoxynil + ioxynil),weeds,0.2,,(not included)
Estrup,11-11-2013,DFF (diflufenican),weeds,0.24,,
Estrup,22-04-2014,Fluxyr 200 EC,(fluroxypyr),weeds,0.7,,(not included)
Estrup,15-05-2014,Primus (florasulam),weeds,0.050,,
Estrup,20-05-2014,Folicur 250 EC (tebuconazole),fungi,1.0,,
Estrup,02-06-2014,Amistar (azoxystrobin),fungi,1.0,,
Estrup,24-06-2014,Cyperb (cypermethrin),pests,0.25,,(not analysed)
Estrup,26-07-2014,Glyphonova 450 Plus (glyphosate),weeds,2.4,,
Estrup,27-05-2015,Callisto (mesotrione),weeds,0.75,,(i.e. 75 g a.i. ha-1)
Estrup,27-05-2015,Harmony SX (thifensulfuron-methyl),weeds,,5.625,(i.e. 2.813 g a.i. ha-1)
Estrup,06-06-2015,Callisto (mesotrione),weeds,0.75,,(i.e. 75 g a.i. ha-1)
Estrup,06-06-2015,MaisTer (foramsulfuron+iodosulfuron),weeds,,100,(30 g a.i. ha-1 + 1 g a.i. ha-1)
Estrup,30-06-2015,MaisTer (foramsulfuron+iodosulfuron),weeds,,50,(i.e. 15 g a.i. ha-1 + 0,5 g a.i. ha-1)
Estrup,30-06-2015,Lodin 200 EC (fluroxypyr),weeds,1.0,,(180 g a.i. ha-1)
Estrup,01-06-2016,Callisto (mesotrion),weeds,0.75,,(i.e. 75 g a.i. ha-1)
Estrup,01-06-2016,Harmony SX (thifensulfuron-methyl),weeds,,5.625,(2.813 g a.i. ha-1)
Estrup,11-06-2016,Callisto (mesotrion),weeds,0.75,,(i.e. 75 g a.i. ha-1)
Estrup,11-06-2016,MaisTer (foramsulfuron+iodosulfuron),weeds,,100,(30 g a.i. ha-1 + 1 g a.i. ha-1)
Estrup,16-06-2016,MaisTer (foramsulfuron+iodosulfuron),weeds,,50,(i.e. 15 g a.i. ha-1 + 0,5 g a.i. ha-1)
Faardrup,25-10-2010,Fox 480 SC (bifenox),weeds,1.5,,
Faardrup,21-05-2011,Fusilade Max (fluazifop-P-butyl),weeds,1.5,,
Faardrup,03-10-2011,Glyphogan (glyphosate),weeds,5.0,,
Faardrup,04-04-2012,Tracer (potasium bromide),,,30,
Faardrup,18-05-2012,Fighter 480 (bentazone),weeds,1.25,,
Faardrup,06-06-2012,Flexity (metrafenon),fungi,0.5,,
Faardrup,26-01-2013,Kerb 400 SC (propyzamid),fungi,1.0,,
Faardrup,14-05-2013,Fighter 480 (bentazone),weeds,3.0,,
Faardrup,31-05-2013,Karate (Lambda-cyhalothrin),0.3,,(not analysed)
Faardrup,12-06-2013,Karate (Lambda-cyhalothrin),0.3,,(not analysed)
Faardrup,28-04-2014,Briotril (ioxynil+ bromoxynil),weeds,0.6,,(neither included)
Faardrup,28-04-2014,Tomahawk 180 EC (fluroxypyr),weeds,0.8,,(neither included)
Faardrup,15-05-2014,Amistar (azoxystrobin),fungi,1.0,,(not included)
Faardrup,26-08-2014,Glyfonova Plus (glyphosate),weeds,4.0,,(not included)
Faardrup,20-11-2014,Folicur 250 (tebuconazole),fungi,1.0,,(i.e. 250g a.i. ha-1)
Faardrup,30-11-2014,Lexus 50 WG (flupyrsulfuron),weeds,,10,(i.e. 4.6 g a.i. ha-1)
Faardrup,30-11-2014,Boxer (prosulfocarb),weeds,3.0,(i.e. 2400 g a.i. ha-1)
Faardrup,22-04-2015,Lexus 50 WG (flupyrsulfuron),weeds,,10,(i.e. 4.6 g a.i. ha-1)
Faardrup,12-05-2015,Starane XL (fluroxypur+ florasulam),weeds,1.2,,(i.e. 120 g a.i. ha-1 + 3 g a.i. ha-1)
Faardrup,12-05-2015,Proline 250 EC (prothioconazole),fungi,0.8,,(i.e. 200 g a.i. ha-1)
Faardrup,27-05-2016,Starane 180 S,weeds,0.8,,
Faardrup,27-05-2016,Oxitril (fluroxypyr + bromoxynil and ioxynil ),weeds,0.2,,(i.e. 144 + 48 + 32 g a.i ha-1.not included)
Faardrup,16-06-2016,Bumber 25 EC (propiconazole),fungi,0.5,,(i.e. 125 g a.i. ha-1)
